品类	商品名称	品牌	参考价格(元)	功能特点	规格参数	售后服务	来源
电动智能沙发	芝华仕 50611B 头等舱智能电动沙发 小三座双电 2.43M 赤霞橙	芝华仕 CHEERS	约4712-5154	双电动功能位，靠背/脚托110°-160°电动调节；专利零靠墙设计，后背可贴墙放置、脚托升起无需留缝；两侧扶手配备USB+Type-C充电口；饱满立体腰枕，顶腰舒脊；静音电机，调节过程噪音小；一字型直排布局	总长2.43m（同系列另有小三人位2.17m、大三座双电2.62m、四人左角位3.41m等配置）；坐宽61cm、座深约50-60cm；底部离地12cm，扫地机器人可进出；接触面头层黄牛皮，非接触区域仿皮，通过5万次折弯测试；七区配比高回弹海绵填充；自主研发金架+松木框架；产地重庆；整机重约150kg	自主研发金架保用10年；商家提供上门安装服务；支持7天无理由退货（拆封影响二次销售除外）；质量问题7天内可退、15天内可换	https://zhekou.manmanbuy.com/m/zhekou.aspx?id=534120007
电动智能沙发	芝华仕 11323 贵族皮沙发零靠墙电动直排 2.13m 橙色	芝华仕 CHEERS	约5261	零靠墙设计电动直排；电动调节功能位；头等舱系列智能电动结构；专利零靠墙设计，脚托升起无需留缝；两侧扶手USB+Type-C充电口；饱满立体腰枕顶腰舒脊；静音电机调节过程噪音小	总长2.13m；贵族皮面料；京东自营，好评率97%；接触面头层黄牛皮；高回弹海绵填充；坐深约50-55cm；产地重庆	京东自营	https://www.smzdm.com/p/180471616/
电动智能沙发	芝华仕 30269 头等舱真皮沙发 2.35m 棕色 电动小户型	芝华仕 CHEERS	约5609	电动调节功能位；头等舱坐感体系；110°-160°电动调节靠背脚托；一键展开舒适躺姿；零靠墙贴墙设计省空间	总长2.35m；真皮材质；面向小户型客厅；接触面头层牛皮；高回弹海绵填充；金属框架；坐深约55cm	京东自营	https://zhekou.manmanbuy.com/m/zhekou.aspx?id=533950814
电动智能沙发	芝华仕 30196 头等舱现代简约真皮电动功能沙发 L型 棉白色 大三人位双功能	芝华仕 CHEERS	约7281起	双电动功能位；现代简约一字型/L型组合；双电动功能位独立调节互不干扰；贵妃位可躺可坐；零靠墙贴墙设计；现代简约风格适配多种装修	占地尺寸2.87M；座深55-60cm；头层皮材质；海绵填充；高回弹海绵填充；金属框架；大三人位布局；适合中大户型客厅	整机质保3年；电机质保5年；免费上门安装；支持7天无理由退货（拆封影响二次销售除外）；质量问题7天内可退、15天内可换	https://wiki.smzdm.com/p/pxr8jy1/
电动智能沙发	芝华仕 30769 白月光真皮电动沙发 2.69m 三座三电 零重力	芝华仕 CHEERS	约10038起	三电动功能位；零重力躺姿；奶油风设计；三电动功能位独立调节；零重力躺姿全身放松；110°-160°电动调节；侧边USB充电口	总长2.69m；半青皮材质；头层皮接触面；海绵填充；高回弹海绵填充；坐深约60cm；金属框架	整机质保3年；电机质保5年；免费上门安装；支持7天无理由退货（拆封影响二次销售除外）；质量问题7天内可退、15天内可换	https://wiki.smzdm.com/p/7yox75o/
电动智能沙发	芝华仕 8279 电动可躺皮艺沙发 三人位+单人位套装	芝华仕 CHEERS	约9000	110°-160°电动角度调节；可躺可坐两用；USB充电口随时充电；三人位+单人位自由组合摆放；一键展开可躺可坐	纯皮接触面；松木框架；承重160kg合金支架；三人位尺寸210cm长×101cm高；座高52cm；海绵填充；金属框架	整机质保3年；电机质保5年；免费上门安装；支持7天无理由退货（拆封影响二次销售除外）；质量问题7天内可退、15天内可换	https://m.fanli.com/detail/1935053
电动智能沙发	芝华仕 K167 头等舱电动皮沙发 单人位	芝华仕 CHEERS	约1799	110°-160°电动可躺可坐；带USB充电孔；一键电动展开可躺可坐；头等舱坐感体系舒适支撑；静音电机调节平稳	原生态黄牛皮；尺寸92×102cm；单座位；高回弹海绵填充；金属框架；单人位小户型首选；皮质面料易清洁	整机质保3年；电机质保5年；免费上门安装；支持7天无理由退货（拆封影响二次销售除外）；质量问题7天内可退、15天内可换	https://m.fanli.com/detail/2412885
按摩椅	荣泰 RT5786 按摩椅 太空舱 家用全自动按摩沙发	荣泰 ROTAI	约11500（苏宁参考价）	太空舱家用全自动；零重力躺姿；臀部按摩、定点按摩；全身电动多功能按摩	净重55kg，毛重约68kg；额定功率220W；皮质面料；产地中国上海；系列采用SL型超长导轨，从颈部延伸至大腿根部（具体以官方说明书为准）	整机质保2年；电机质保5年；免费上门安装调试；支持7天无理由退货；质量问题7天内可退、15天内可换	https://item.jd.com/100036049017.html
按摩椅	佳仁 JARE 按摩椅 SL导轨零重力太空舱 豪华智能电动全身按摩沙发椅	佳仁 JARE	—	SL型导轨贴合脊柱曲线；零重力太空舱；全身气囊包裹按摩；足底滚轮刮痧；腰部/腿部/背部热敷；蓝牙音乐；支持语音控制（天猫精灵/华为智慧生活）	机身约1210×750×1020mm（佳仁系列参考）；整机重约55kg；额定功率90W；220V/50Hz；适用身高≤1.8m、体重≤100kg（佳仁系列限制）	整机质保2年；电机质保5年；免费上门安装调试；支持7天无理由退货；质量问题7天内可退、15天内可换	https://item.jd.com/10023078281576.html
按摩椅	践程 S8 按摩椅 家用全身多功能老人全自动太空舱零重力智能按摩沙发	践程	—	家用全身多功能按摩；老人全自动程序；电动大型太空舱；零重力；全身气囊包裹按摩；多种自动按摩程序一键启动；电动太空舱零重力躺姿；腰部加热理疗；蓝牙音箱连接	展开尺寸约150×80×120cm；额定功率约170W；承重150kg；皮质面料易清洁	整机质保2年；电机质保5年；免费上门安装调试；支持7天无理由退货；质量问题7天内可退、15天内可换	https://item.jd.com/100058433530.html
